latitude,longitude,altitude,geometry,name,address1,address2,city,state,zip
41.551908,-70.615944,,Point,Falmouth Jewelry Shop,225 Main St.,,Falmouth,MA,2541
42.298711,-71.395554,,Point,Stardust Jewelers,60 Worcester Rd.,,Framingham,MA,1702
41.711571,-72.60742,,Point,Baribault Jewelers,81 Rankin Rd.,,Glastonbury,CT,6033
41.713209,-72.607207,,Point,Silver Dahlia,63 Hebron Ave.,,Glastonbury,CT,6033
41.868146,-71.531685,,Point,Ephriam Doumato,19 Saunderston Rd.,,Greenville,RI,2828
42.941587,-70.837906,,Point,Cohen Jewelers,1 High St,,Hampton,NH,3842
42.146553,-70.840574,,Point,NASR Jewelers,1775 Washington St.,,Hanover,MA,2339
41.669631,-70.085337,,Point,Cape Life Gifts,337 Route 28,,Harwichport,MA,2646
41.667989,-70.074383,,Point,Cranberry Jewelers,554 Main St. Rte. 28,,Harwichport,MA,2646
42.222398,-72.641725,,Point,Brad Matthews,2225 N Hampton St.,,Holyoke,MA,1040
42.936519,-72.277968,,Point,Stoneman,82 Washington St.,,Keene,NH,3431
43.361282,-70.477673,,Point,Coastal Jewelers,28 Dock Square,,Kennebunkport,ME,4046
42.011966,-70.730135,,Point,Premier Jewelers,187 Summer St.,,Kingston,MA,2364
41.904386,-71.407531,,Point,Christian Jewelers,184 Front St.,,Lincoln,MA,2865
42.870649,-71.346902,,Point,Baldoria,5 Garden Lane,,Londonderry,NH,3053
41.279699,-72.595055,,Point,Silver Moon,769 Boston Post Rd.,,Madison,CT,6443
42.961805,-71.443507,,Point,John’s Hallmark,62 March Ave.,,Manchester,NH,3103
41.736367,-72.199573,,Point,Roy Jewelers,119 Storr Rd.,,Mansfiled Center,CT,6250
41.616797,-70.490596,,Point,Elfstone Silver and Gold,19 Central Sq.,,Mashpee,MA,2649
41.663838,-70.813807,,Point,Isabelle’s,33 County Rd,,Mattapoisett,MA,2738
42.418582,-71.111741,,Point,Rolands,70 High St.,,Medford,MA,2155
42.151796,-71.412643,,Point,Medway Jewelers,74 Main St.,,Medway,MA,2053
42.102844,-71.564003,,Point,Stardust Jewelers Mendon,12 Uxbridge Rd.,,Mendon,MA,1756
42.838055,-71.668586,,Point,John’s Hallmark,198 Elm St.,,Milford,NH,3055
45.656922,-68.709491,,Point,Melvin Ferland,234 Penobscot Ave.,,Millinocket,ME,4462
42.098374,-72.315157,,Point,Belanger’s,125 Main St.,,Monson,MA,1057
41.373554,-71.957251,,Point,Mystic Silver,27A Olde Mystic Village,,Mystic,CT,6355
42.698302,-73.110203,,Point,Dilego Jewelers,16 Ashland St.,,N. Adams,MA,1247
42.574004,-71.278549,,Point,Billerica Jewelers,306 Boston Neck Rd.,,N. Billerica,MA,1862
42.280666,-71.235866,,Point,Crosby Jewelers,1496 Highland Ave.,,Needham,MA,2192
41.666536,-70.928897,,Point,Folco Jewelers,1697 Acushnet Ave.,,New Bedford,MA,2746
41.488382,-71.314885,,Point,Jason and Co.,182 Thames St.,,Newport,RI,2840
41.9696,-71.333401,,Point,Facet Jewelers,153 East Washington St.,,North Attleboro,MA,2760
41.832323,-71.59015,,Point,Charming Treasures,178 Danielson Pike.,,North Scituate,RI,2857
41.797452,-69.985223,,Point,Cape Tradewinds,8 Canal Rd.,,Orleans,MA,2653
44.883289,-68.671846,,Point,Degrasse Jewelers,5 Mill St.,,Orono,MA,4473
41.63526,-70.38954,,Point,Silva Jewelers,1112 Main St.,,Osterville,MA,2655
41.871933,-71.354093,,Point,Ricards Jewelry,555 Newport Ave.,,Pawtucket,RI,2861
42.468424,-73.202925,,Point,Charland Jewelers,875 Dalton Ave.,,Pittsfield,MA,1201
41.954553,-70.710807,,Point,NASR Jewelers,61 Commerce Way,,Plymouth,MA,2360
41.957254,-70.665223,,Point,Stellor Jewelers,1 Court St.,,Plymouth,MA,2360
41.959714,-70.665003,,Point,3 Daughters Jewelry,108 Water St.,,Plymouth,MA,2360
42.050232,-70.187963,,Point,RC Hancrafted,241 Commercial St.,,Provincetown,MA,2657
42.524307,-71.103015,,Point,C. Simms Jewelers,648 Main St.,,Reading,MA,1867
42.688383,-70.945322,,Point,Gold Rush,174 Newbury Tpke.,,Rowley,MA,1969
42.201706,-71.006271,,Point,Caruso Jewelers,1000 Washington St.,,S Braintree,MA,2184
42.764799,-71.215586,,Point,Baldoria,203 South Broadway,,Salem,NH,3079
41.903971,-72.786404,,Point,Riches Jewelers,1402 Hopmeadow St.,,Simsbury,CT,6070
41.665162,-70.195293,,Point,Adrene Jewelers,1198 Route 28,,South Yarmouth,MA,2664
41.657764,-70.203035,,Point,Yarmouth Jewelers,1086 Main St. Rte 28,,South Yarmouth,MA,2664
41.713036,-70.204593,,Point,Cape Tradewinds,852 Main St./Rte. 28,,South Yarmouth,MA,2664
